prompt_len,cache,pilot,moe_group,expert_gets,hit,miss,hit_pct,tok_s,wall_s,peak_rss_gb,nll,error
1024,32,2,1,8025,1862,6163,23.2,0.86,19.01,5.07,11.9892,
1024,32,3,0,132992,120934,12058,90.9,0.75,21.83,5.07,11.9892,
1024,32,3,1,8025,1869,6156,23.3,0.86,19.11,5.07,11.9892,
1024,64,0,0,132992,132079,913,99.3,0.9,18.2,7.42,11.9892,
1024,64,0,1,8025,7112,913,88.6,0.93,17.68,7.42,11.9892,
1024,64,1,0,132992,132079,913,99.3,0.89,18.46,7.42,11.9892,
1024,64,1,1,8025,7112,913,88.6,0.93,17.74,7.42,11.9892,
1024,64,2,0,132992,132080,912,99.3,0.89,18.49,7.42,11.9892,
1024,64,2,1,8025,7113,912,88.6,0.94,17.49,7.43,11.9892,
1024,64,3,0,132992,132080,912,99.3,0.88,18.6,7.44,11.9892,
1024,64,3,1,8025,7113,912,88.6,0.93,17.59,7.45,11.9892,
